Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W610x155,2,8.53,45.1,1.52,19700,1290,4220,256,4730,108,666,73.9,1020,1950,9.45,315,314.2,525,293,48.5,26.9,133,385,70,33,428,2.17,1.88,W18x211
W610x153,1,4.6,40.9,1.51,19600,1250,4020,253,4600,50,437,50.5,682,2950,4.47,286,285.6,517,291,44.4,24.4,133,385,66,32,428,2.15,1.86,W18x192
W610x140,1,5.18,43.7,1.37,17900,1120,3630,250,4150,45.1,392,50.3,613,2180,3.99,260,259.9,509,289,40.4,22.6,133,385,62,32,428,2.13,1.84,W18x175
W610x125,1,5.84,48.1,1.23,15900,985,3220,249,3670,39.3,343,49.7,535,1540,3.45,235,234.8,501,287,36.6,20.6,133,384,58,31,428,2.11,1.82,W18x158
W610x113,1,6.59,51.2,1.11,14500,875,2880,246,3290,34.3,300,48.7,469,1120,2.99,213,212.7,495,285,33.5,18.5,133,384,55,30,428,2.09,1.81,W18x143
W610x101,1,7.65,54.6,0.997,13000,764,2530,243,2900,29.5,259,47.7,404,781,2.55,193,193.3,489,283,30.5,17,133,384,52,29,428,2.08,1.79,W18x130
W610x82,1,5.97,52.6,0.905,11700,646,2140,234,2510,14.4,161,35,258,710,1.25,177,177.3,482,286,26.9,16.6,135,385,49,29,428,2.07,1.79,W18x119
W610x82,1,6.95,57.3,0.803,10500,560,1870,232,2200,12.1,136,34,218,488,1.04,158,157.7,476,284,23.9,15,135,385,46,28,428,2.06,1.77,W18x106
W530x409,1,2.94,16.2,4.01,52200,3170,10300,247,12100,325,1990,79.1,3100,41300,25.3,144,144.5,472,283,22.1,13.6,135,384,44,27,428,2.05,1.77,W18x97
W530x369,1,3.21,18,3.61,47000,2810,9310,245,10800,287,1770,78.3,2750,30800,21.9,128,128.4,467,282,19.6,12.2,135,384,41,26,428,2.04,1.76,W18x86
