Designation,Dead Load kN/m,Area mm²,Ix 10? mm?,Sx 10³ mm³,rx mm,Zx 10³ mm³,Iy 10? mm?,Sy 10³ mm³,ry mm,Zy 10³ mm³,J 10³ mm?,Cw 10? mm?,Nominal Mass kg/m,Theoretical Mass kg/m,Depth d mm,Flange Width b mm,Flange Thickness t mm,Web Thickness w mm,a mm,T mm,k mm,k1 mm,d-2t mm,Surface Area Total m²/m,Surface Area Minus Top Flange m²/m,Imperial Designation
W410x67,0.662,8680,24.5,1200,169,1360,1.38,154,40.1,239,468,540,67,67.5,410,179,14.4,8.8,85,340,35,23,381,1.52,1.34,W18x45
W410x60,0.583,7610,21.6,1060,169,1190,1.2,135,39.9,209,327,468,60,59.5,407,178,12.8,7.7,85,340,33,23,381,1.51,1.33,W18x40
W410x54,0.524,6840,18.6,923,165,1050,1.01,114,38.5,177,225,388,54,53.4,403,177,10.9,7.5,85,340,31,23,381,1.5,1.32,W18x36
W410x46,0.453,5880,15.6,772,163,884,0.514,73.4,29.5,115,192,197,46,46.2,403,140,11.2,7,67,344,30,21,381,1.35,1.21,W18x31
W410x39,0.384,4950,12.6,634,159,730,0.404,57.6,28.4,90.6,110,154,39,39.2,399,140,8.8,6.4,67,344,27,20,381,1.35,1.21,W18x26
W360x1299,12.7,165000,7550,25200,214,33200,2540,10700,124,16700,944000,135000,1299,1299,600,476,140,100,188,257,172,80,320,2.9,2.43,W14x873
W360x1202,11.8,153000,6640,22900,208,30000,2290,9710,122,15200,762000,116000,1202,1201.5,580,471,130,95,188,257,162,78,320,2.85,2.38,W14x808
W360x1086,10.7,139000,5960,20900,207,27200,1960,8650,119,13400,605000,96700,1086,1087.8,569,454,125,78,188,256,157,69,319,2.8,2.34,W14x730
W360x990,9.72,126000,5190,18900,203,24300,1730,7740,117,12000,469000,82000,990,991,550,448,115,71.9,188,257,147,66,320,2.75,2.3,W14x665
W360x900,8.85,115000,4500,17000,198,21600,1540,6940,116,10700,364000,69200,900,902.1,531,442,106,65.9,188,256,138,63,319,2.7,2.26,W14x605
W360x818,8.03,105000,3920,15300,194,19300,1360,6200,114,9560,278000,58900,818,819,514,437,97,60.5,188,257,129,60,320,2.66,2.22,W14x550
W360x744,7.3,94800,3420,13700,190,17200,1200,5550,112,8550,214000,50200,744,744.2,498,432,88.9,55.6,188,257,120,58,320,2.61,2.18,W14x500
W360x677,6.65,86500,2990,12400,186,15300,1070,4990,111,7680,164000,43100,677,677.8,483,428,81.5,51.2,188,257,113,56,320,2.58,2.15,W14x455
W360x634,6.22,80600,2740,11600,184,14200,983,4630,110,7120,138000,38700,634,634.3,474,424,77.1,47.6,188,257,109,54,320,2.55,2.12,W14x426
W360x592,5.81,75500,2500,10800,182,13100,902,4280,109,6570,114000,34800,592,592.6,465,421,72.3,45,188,257,104,53,320,2.52,2.1,W14x398
W360x551,5.4,70300,2260,9940,180,12100,825,3950,108,6050,92500,31000,551,550.6,455,418,67.6,42,188,257,99,51,320,2.5,2.08,W14x370
W360x509,5,65200,2050,9170,178,11000,754,3630,108,5550,73900,27700,509,509.4,446,416,62.7,39.1,188,258,94,50,321,2.48,2.06,W14x342
W360x463,4.54,59000,1800,8280,175,9880,670,3250,107,4980,56500,23900,463,462.8,435,412,57.4,35.8,188,257,89,48,320,2.45,2.03,W14x311
W360x421,4.13,53700,1600,7510,172,8880,601,2940,106,4490,43400,20800,421,421.6,425,409,52.6,32.8,188,257,84,46,320,2.42,2.01,W14x283
W360x382,3.75,48800,1410,6790,170,7960,536,2640,105,4030,32800,18200,382,382.3,416,406,48,29.8,188,257,80,45,320,2.4,1.99,W14x257
