province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
Alberta,High River,1040,-31,-32,28,17,4900,18,97,300,0.4,425,200,1.3,0.1,0.52,0.65,True
Alberta,Hinton,990,-34,-38,27,17,5500,13,81,375,0.6,500,100,2.6,0.1,0.37,0.46,True
Alberta,Jasper,1060,-31,-34,28,17,5300,12,76,300,0.5,400,80,3.0,0.1,0.26,0.32,True
Alberta,Keg River,420,-40,-42,28,18,6520,13,70,310,0.5,450,80,2.4,0.1,0.23,0.3,True
Alberta,Lac La Biche,560,-35,-38,28,19,6100,15,86,375,0.6,475,80,1.6,0.1,0.27,0.36,True
Alberta,Lacombe,855,-33,-36,28,19,5500,23,92,350,0.5,450,180,1.9,0.1,0.32,0.4,True
Alberta,Lethbridge,910,-30,-32,31,19,4500,20,97,250,0.3,390,200,1.2,0.1,0.53,0.66,True
Alberta,Manning,465,-39,-41,27,18,6300,13,76,280,0.5,390,80,2.3,0.1,0.23,0.3,True
Alberta,Medicine Hat,705,-31,-34,32,19,4540,23,92,250,0.3,325,220,1.1,0.1,0.38,0.48,True
Alberta,Peace River,330,-37,-40,27,18,6050,15,81,300,0.5,390,100,2.2,0.1,0.24,0.32,True
Alberta,Pincher Creek,1130,-29,-32,29,18,4740,16,103,325,0.4,575,140,1.5,0.1,0.77,0.96,True
Alberta,Ranfurly,670,-34,-37,29,19,5700,18,92,325,0.5,420,100,1.9,0.1,0.29,0.36,True
Alberta,Red Deer,855,-32,-35,28,19,5550,20,97,375,0.5,475,200,1.8,0.1,0.32,0.4,True
Alberta,Rocky Mountain House,985,-32,-34,27,18,5640,20,92,425,0.6,550,120,1.9,0.1,0.29,0.36,True
Alberta,Slave Lake,590,-35,-38,26,19,5850,15,81,380,0.6,500,80,1.9,0.1,0.28,0.37,True
Alberta,Stettler,820,-32,-34,30,19,5300,20,97,370,0.5,450,200,1.9,0.1,0.29,0.36,True
Alberta,Stony Plain,710,-32,-35,28,19,5300,23,97,410,0.5,540,120,1.7,0.1,0.36,0.45,True
Alberta,Suffield,755,-31,-34,32,20,4770,20,86,230,0.2,325,220,1.3,0.1,0.39,0.49,True
Alberta,Taber,815,-31,-33,31,19,4580,20,92,260,0.3,370,200,1.2,0.1,0.5,0.63,True
